Title;Set x repetition / Execution time;Recovery time;Weight used;Image
Tapis roulant running;10 min;1 min 30 sec;;tapis_roulant_running
Push Up;4 x 12;1 min;;push_up
Australian Pull Up;4 x 15;1 min;;australian_pull_up
Bicycle crunch;4 x 1 min;1 min;;bicycle_crunch
Leg lunges;4 x 16 alternating legs;2 min;;leg_lunges
Inclined Push Ups;4 x 12;1 min;;inclined_push_up
Biceps curl;4 x 15;1 min 30 sec;Your bodyweight x 1/7;biceps_curl
Squat;4 x 20;1 min;Your bodyweight x 1/5;squat
