Title;Set x repetition / Execution time;Recovery time;Weight used;Image
Tapis roulant running;10 min;1 min 30 sec;;tapis_roulant_running
Dips;4 x 10;1 min;;dips
Australian Pull Up;4 x 15;1 min;;australian_pull_up
Bicycle crunch;4 x 1 min;1 min;;bicycle_crunch
Jump squat;4 x 20;1 min 30 sec;;jump_squat
Burpees;4 x 12;1 min;;burpees
